"LANDSCAP_2","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"34","Blackwater",132525.789216995,147925.746248245,155804.73648262,158592.24429512,158677.69351387,159665.99429512,160046.43570137,160984.41617012,166520.184646229,79.5854205293765,88.8335228323899,93.56507549738,95.2390514291398,95.290366060415,95.8838681534794,96.112333793881,96.6756171404271
"35","Selwyn",14179.0971679688,14086.5404052734,17040.7307097912,19538.4765594006,21452.2717254162,24812.0251302719,26372.0367126465,33861.2565193176,56160.6098785315,25.2474059641382,25.0825987035057,30.3428519502338,34.790356802855,38.198074721437,44.1804766435715,46.9582448796157,60.2936054158874
"36","Clearwater",27540.8943634033,27930.390335083,32057.4239730835,34083.6497039795,39510.763885498,40116.466583252,40410.1796569824,67143.9411621094,109885.648690944,25.0632313605053,25.4176870845418,29.1734401671011,31.0173804404983,35.9562548487319,36.5074666811864,36.7747564294196,61.1034670696201
"37","Parsnip",42935.5812966395,52846.6988596609,67720.5505442312,69006.5200266531,69996.6166453054,71017.6157908132,73250.3458323171,84759.1345896414,120453.096239225,35.6450623829277,43.8732589776732,56.2215108275304,57.2891209783462,58.1110978718965,58.9587300020661,60.8123395075201,70.3669205989578
"38","Nina Creek",4787.59912109375,4788.59912109375,4787.58740234375,7385.73681640625,8506.71875,12023.3583984375,12411.5302734375,16255.6259765625,22195.3940184502,21.5702371271895,21.5747425664675,21.570184329073,33.2759887491376,38.3265047826079,54.1705111810267,55.9193959932419,73.2387357622478
"39","Discovery",5699.53125,5699.53125,5662.5146484375,5819.83740234375,5462.81201171875,8383.939453125,8657.4306640625,9121.0419921875,13262.5282710937,42.9746963286206,42.9746963286206,42.6955896544944,43.8818095870026,41.189823690142,63.2152428387139,65.2773776394637,68.7730258194224
"40","Duckling",12722.5593138337,12723.5593138337,12708.5593138337,14191.4465825409,14331.6848637909,16092.2112309784,16666.3079106659,17459.6672856659,28212.225451574,45.0959082815777,45.0994528442061,45.0462844047799,50.3024711995881,50.7995545703797,57.0398505378475,59.0747721737636,61.8868841652893
"41","Fall",0.00406192848458886,0.00406192848458886,0.00406192848458886,0.00406192848458886,0.0059765987098217,0.00687262741848826,0.00708931405097246,0.0106383813545108,0.0257365690426589,15.7827116654754,15.7827116654754,15.7827116654754,15.7827116654754,23.2222045600381,26.7037436384653,27.5456842721412,41.3356626397148
"42","Eklund",10604.4599609375,10554.0390625,13171.3681640625,14273.0185546875,14121.203125,14165.203125,14222.0205078125,14306.0205078125,24933.260125,42.5313814068969,42.3291579584401,52.8264980112082,57.2448949039611,56.6360077029838,56.8124788093671,57.0403566822471,57.3772560671606
"43","Jackfish",10505.427734375,10497.0888671875,11566.2666015625,12373.1259765625,12068.7216796875,12078.7216796875,12104.4658203125,12648.09765625,17768.5186570313,59.1238242036449,59.0768936330753,65.0941523309574,69.6351013575703,67.9219349268136,67.9782142385166,68.1231004899927,71.1826230446339
"44","Twenty Mile",6300.33447265625,6370.34765625,6467.34765625,8997.9189453125,9756.1904296875,10041.1904296875,10706.234375,13909.0859375,21105.55545285,29.8515454223949,30.183274117004,30.6428687494064,42.6329407222375,46.2256984966964,47.5760538599404,50.7270912576446,65.9024869948248
"45","Gillis",10598.1474609375,12191.5659179688,15522.3217773438,24132.3234863281,24407.9072265625,24459.3310546875,24465.3310546875,24650.9494628906,36968.31568125,28.6681913028372,32.9784186628557,41.9881768787658,65.2783959496641,66.0238552305535,66.1629576678092,66.1791877824071,66.6812891218449
"46","South Germansen - Upper Manson",8339.03149414062,8318.92651367188,10128.8317871094,12666.8562011719,14164.7075195312,14170.7075195312,14276.7075195312,14354.7075195312,16290.9975601563,51.1879733782284,51.0645617799238,62.174411049462,77.7537173791731,86.9480672821081,86.9848974392415,87.6355635485978,88.1143555913317
"47","Germansen Mountain",1023.90148925781,1023.90148925781,1234.30578613281,4529.52294921875,4611.52294921875,4792.98486328125,4792.98486328125,5061.75927734375,11454.5002859072,8.93885777380923,8.93885777380923,10.7757279263541,39.5436102506503,40.2594860894321,41.8436836496326,41.8436836496326,44.1901361997555
