"herd_hab","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"11","Gataga_None",38198.28125,29619.052734375,26398.2578125,22721.880859375,22177.490234375,22490.431640625,22490.431640625,22490.431640625,500726.110873288,7.62857786333142,5.91522033526833,5.27199545605087,4.53778629992893,4.42906606082445,4.49156358181536,4.49156358181536,4.49156358181536
"12","Rabbit_None",9069.29296875,6447.90380859375,6447.90380859375,4570.1279296875,1387.51916503906,1387.51916503906,1387.51916503906,1387.51916503906,136762.435581511,6.63142106981902,4.71467459699543,4.71467459699543,3.34165438795778,1.01454698370891,1.01454698370891,1.01454698370891,1.01454698370891
"13","Spatsizi_None",8638.822265625,12563.5068359375,12563.5068359375,12563.5068359375,14956.5068359375,18717.5078125,19311.5078125,19365.5078125,170809.677985199,5.05757189377381,7.35526639013167,7.35526639013167,7.35526639013167,8.75624087133604,10.9581073117659,11.3058627826541,11.3374769163712
"14","Thutade_None",74632.0234375,79151.21875,77050.0625,76337.7578125,73680.6015625,91166.2265625,121112.5703125,147272.90625,590939.377931416,12.6293874168192,13.3941351187441,13.0385730546023,12.9180353625647,12.4683858131809,15.4273399213346,20.4949229710253,24.9218298441253
"15","Wolverine_None",256835.203125,259670.609375,292449.8125,335559.53125,339602.09375,351746.125,356090.78125,378848.59375,596778.950030447,43.0369072354004,43.5120255769329,49.0047131329078,56.2284462668933,56.9058432326867,58.9407727906714,59.6687904678663,63.482231357301
"16","Muskwa_None",0,0,0,703.421997070312,703.421997070312,703.421997070312,703.421997070312,703.421997070312,86294.6349490309,0,0,0,0.815139895412713,0.815139895412713,0.815139895412713,0.815139895412713,0.815139895412713
"17","Scott_None",143718.109375,166102.265625,180731.578125,181369.8125,181183.3125,181542.375,181862.375,182245.78125,193437.294368534,74.2970014361297,85.8687907971585,93.4316098221851,93.7615536301169,93.6651399573509,93.8507621255952,94.0161904113064,94.2143974071454
"18","Hart_Ranges_HEWSR",0,0,0,0,0,0,0,0.000842094188556075,13.8086837595607,0,0,0,0,0,0,0,0.00609829440096371
"19","Kennedy_Siding_HESR",81.4747695922852,391.428070068359,762.569458007812,874.452209472656,1027.36791992188,1041.107421875,1069.14770507812,1412.17907714844,2817.34207214607,2.89190192407921,13.8935230456483,27.0669815194623,31.0381979567911,36.4658565986377,36.9535326280756,37.9488069854335,50.1245159794434
"20","Kennedy_Siding_HEWR",381.585510253906,1060.23205566406,1403.2939453125,1611.28161621094,1370.15673828125,1414.11633300781,1419.40551757812,2467.29370117188,4925.89216987952,7.74652584941256,21.523655392765,28.4881174194851,32.710452454958,27.8154025916235,28.7078215324068,28.8151966918277,50.0882604832217
"21","Kennedy_Siding_HEWSR",816.026672363281,1660.95520019531,2109.20239257812,2342.39453125,2464.75024414062,2505.98071289062,2529.09252929688,5126.2900390625,29787.827031791,2.73946357850265,5.57595288311115,7.08075278645563,7.86359652468132,8.27435395509086,8.41276777327907,8.49035589805763,17.2093453933094
"22","Kennedy_Siding_LEWR",8226.4072265625,8791.583984375,8784.583984375,8791.583984375,9037.375,9037.375,9037.375,9220.65625,9654.4346898725,85.2085853891787,91.0626491015302,90.9901435615907,91.0626491015302,93.6085362872691,93.6085362872691,93.6085362872691,95.5069514289891
