"WATERSHED_","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"86",10380,5772.505859375,5772.505859375,5772.505859375,5743.96826171875,3182.93920898438,3282.3232421875,3282.3232421875,3282.3232421875,5857.88199814911,98.5425425298583,98.5425425298583,98.5425425298583,98.0553767305938,54.336007621698,56.0325940881807,56.0325940881807,56.0325940881807
"87",10381,6863.06884765625,6863.06884765625,6863.06884765625,6863.06884765625,4823.63427734375,4823.63427734375,4823.63427734375,4825.63427734375,6863.06907369067,99.9999967065111,99.9999967065111,99.9999967065111,99.9999967065111,70.2839243718963,70.2839243718963,70.2839243718963,70.3130658533315
"88",10382,3441.19995117188,3441.19995117188,3441.19995117188,3441.19995117188,2.91897916793823,105.210098266602,854.294128417969,1587.08142089844,3807.71925364131,90.3743086594704,90.3743086594704,90.3743086594704,90.3743086594704,0.0766595164584896,2.76307393634627,22.4358486409157,41.6806312435119
"89",10383,5754.18603515625,5754.18603515625,5754.18603515625,5766.18603515625,1768.11584472656,2818.80932617188,2950.716796875,3336.79565429688,5848.17097375343,98.3929173921388,98.3929173921388,98.3929173921388,98.5981097514911,30.2336551489664,48.199844683452,50.4553784442659,57.0570810818015
"90",10384,3536.48559570312,3536.48559570312,3695.20141601562,3896.92504882812,4080.63549804688,4143.52099609375,4143.52099609375,4205.0263671875,6856.174973712,51.5810289157255,51.5810289157255,53.8959613805627,56.8381796522076,59.5176685789508,60.4348782226368,60.4348782226368,61.3319581736237
"91",10385,3069.57373046875,3065.52001953125,3176.80810546875,3355.04760742188,3370.04760742188,3370.04760742188,3370.04760742188,3370.50317382812,3456.70904544016,88.8004657064763,88.6831948895168,91.9026757447049,97.0590108487035,97.4929495980404,97.4929495980404,97.4929495980404,97.5061287924783
"92",10386,5180.97265625,5180.97265625,5353.181640625,5852.9814453125,5894.3212890625,5913.09326171875,5913.09326171875,5919.09326171875,6692.61458863137,77.4132827706952,77.4132827706952,79.9864024699458,87.4543329486634,88.0720264255928,88.3525143038002,88.3525143038002,88.4421653649892
"93",11969,0,0,0,0,0,0,0,0,52.2332617613727,0,0,0,0,0,0,0,0
"94",11968,0,0,0,0,0,0,0,0,0.0240272336478932,0,0,0,0,0,0,0,0
"95",11971,5849.576171875,5909.51416015625,5952.22021484375,6065.8857421875,6245.3583984375,6378.3583984375,6668.3701171875,6673.3701171875,8547.49251694189,68.4361660484712,69.1374008043069,69.6370333527163,70.9668447227579,73.0665559058244,74.6225677974567,78.0155127830788,78.0740094707341
"96",11970,1043.6552734375,1243.03491210938,1295.12854003906,1499.77978515625,1817.8828125,2674.22973632812,2680.4423828125,2680.4423828125,4803.12828994979,21.7286570425628,25.879694171616,26.9642712385806,31.2250619725156,37.8478920978186,55.6768334071726,55.8061792440801,55.8061792440801
"97",11972,1023.4013671875,1023.4013671875,1033.4013671875,1049.39294433594,1905.97875976562,2012.92858886719,2265.4599609375,2307.06201171875,3240.07368401664,31.5857436278676,31.5857436278676,31.8943785842061,32.3879345557053,58.8251671302374,62.1260127137545,69.9200136130567,71.203998325703
"98",11973,3875.18334960938,3880.134765625,3890.67846679688,3736.84375,2918.37744140625,3033.00561523438,3033.00561523438,3033.00561523438,7155.19125422574,54.1590463751861,54.2282467059627,54.3756040692708,52.2256305559,40.7868544349909,42.3888825255808,42.3888825255808,42.3888825255808
"99",11974,1824.29138183594,1827.34020996094,1884.5869140625,1885.26489257812,1409.33630371094,1573.33630371094,1573.33630371094,1573.33630371094,3592.80275108468,50.7762743525282,50.8611336764663,52.4545054273725,52.4733758904231,39.2266539899931,43.7913354201241,43.7913354201241,43.7913354201241
"100",11975,4719.35107421875,4719.35107421875,4756.35107421875,4802.15771484375,3060.75659179688,4354.00048828125,4919.00048828125,5245.18212890625,9135.40657216183,51.6600004273477,51.6600004273477,52.0650179786491,52.5664367197108,33.5043281064673,47.6607193548355,53.8454468274115,57.415968161612
"101",11976,590.981994628906,590.981994628906,602.174072265625,773.562927246094,1065.06787109375,1761.19567871094,1764.73742675781,1764.73742675781,2279.45618505574,25.9264467772366,25.9264467772366,26.4174444858171,33.9362928894015,46.7246476627365,77.2638531180132,77.4192300043993,77.4192300043993
"102",11977,0,0,0,0,0,36.5454902648926,36.5454902648926,36.5454902648926,38.0048297366282,0,0,0,0,0,96.1601210113324,96.1601210113324,96.1601210113324
