"LANDSCAP_2","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"37","Parsnip",42935.5812966395,44067.9833231736,45612.4460215261,46853.6945819884,49911.280951946,54087.3786387136,55833.5232920339,57902.2264475515,120453.096239225,35.6450623829277,36.5851810364865,37.8673919107385,38.8978748117318,41.4362789419878,44.9032696770982,46.3529166416332,48.0703512448991
"38","Nina Creek",4787.59912109375,4908.59912109375,5271.10107421875,5589.93701171875,5506.791015625,5945.791015625,6165.8447265625,7937.05908203125,22195.3940184502,21.5702371271895,22.1153952798198,23.7486258177579,25.185121773788,24.8105125371841,26.7884003801982,27.7798390127116,35.7599377394853
"39","Discovery",5699.53125,5699.53125,5809.5146484375,6201.11279296875,4742.96728515625,5605.2099609375,6430.15625,6730.73193359375,13262.5282710937,42.9746963286206,42.9746963286206,43.8039756047087,46.7566414654462,35.7621653142391,42.2635099911854,48.4836384026023,50.749991223496
"40","Duckling",12722.5593138337,12722.5593138337,12918.5593138337,13196.3171263337,12047.2263060212,12630.2839232087,12632.2839232087,12634.2839232087,28212.225451574,45.0959082815777,45.0959082815777,45.7906425567465,46.7751725186837,42.702148140352,44.7688323804461,44.7759215057029,44.7830106309598
"41","Fall",0.00406192848458886,0.00406192848458886,0.00406192848458886,0.00446493178606033,0.00545222777873278,0.00545222777873278,0.00545222777873278,0.00545222777873278,0.0257365690426589,15.7827116654754,15.7827116654754,15.7827116654754,17.3485897776802,21.1847498774821,21.1847498774821,21.1847498774821,21.1847498774821
"42","Eklund",10604.4599609375,10563.3994140625,10982.8798828125,11807.275390625,12419.8349609375,12780.8662109375,12804.2392578125,12846.158203125,24933.260125,42.5313814068969,42.3666995856303,44.0491128225956,47.3555216262558,49.812318560317,51.2603091086449,51.354051550499,51.5221761563561
"43","Jackfish",10505.427734375,10706.0146484375,11041.4443359375,11344.6357421875,10648.15625,10862.4912109375,10864.4990234375,10864.4990234375,17768.5186570313,59.1238242036449,60.2527135496519,62.1404887433779,63.84682910918,59.9270904656218,61.1333528731674,61.1446527037203,61.1446527037203
"44","Twenty Mile",6300.33447265625,6336.28955078125,6959.64501953125,7557.5771484375,8543.328125,9057.216796875,9097.646484375,9185.646484375,21105.55545285,29.8515454223949,30.0219037823315,32.9754174680651,35.8084731070983,40.4790489598148,42.9138992200841,43.1054586774522,43.52241050891
"45","Gillis",10598.1474609375,11641.2697753906,13066.0043945312,16819.9743652344,19528.5932617188,20100.3466796875,20110.9052734375,20112.9052734375,36968.31568125,28.6681913028372,31.4898570867132,35.3437914434338,45.4983519137317,52.8252177624189,54.3718216783196,54.4003828760789,54.4057929142782
"46","South Germansen - Upper Manson",8339.03149414062,8616.66735839844,9159.80065917969,9976.76220703125,12171.2814941406,13236.4284667969,13392.4580078125,13432.5388183594,16290.9975601563,51.1879733782284,52.8922021293077,56.2261495979982,61.240953294548,74.7117016572918,81.24995671947,82.2077221383124,82.4537525633915
"47","Germansen Mountain",1023.90148925781,1049.90148925781,1146.30578613281,1385.30578613281,4093.22998046875,4288.009765625,4305.4716796875,4315.4716796875,11454.5002859072,8.93885777380923,9.165842795862,10.0074709286371,12.0939870928913,35.7346883609125,37.4351535081865,37.5875993908234,37.6749013223821
"48","Manson River",17900.4860687256,17913.1364593506,18304.5837249756,18805.4723968506,18994.1794281006,19015.1794281006,19119.2106781006,19193.2106781006,22353.7770485679,80.0781274226424,80.1347191592314,81.8858651278724,84.1265990798427,84.9707831783062,85.0647270337646,85.530112591534,85.8611528441017
"49","Gaffney",74638.70703125,76240.62109375,80809.90234375,86268.732421875,94578.42578125,95128.3828125,95536.14453125,95713.0390625,109280.686214794,68.2999984869656,69.7658696468075,73.9471036857473,78.9423414237274,86.546332254314,87.0495840642166,87.4227165296813,87.5845882541161
"50","Nation",3635.50989513216,3730.98206310091,3801.36523122038,3823.66210622038,3836.66325271921,3836.66335726576,3836.66335726576,3836.66335726576,3837.682013562,94.7319210472522,97.2196771362497,99.0536792206002,99.6346777223313,99.9734537452767,99.9734564694875,99.9734564694875,99.9734564694875
"51","Connaghan Creek",2501.42700195312,2563.01123046875,2553.74291992188,2642.74291992188,3171.74291992188,3708.61938476562,3967.88745117188,4011.88745117188,8461.8791234375,29.561128981679,30.2889132907818,30.1793831212807,31.2311589585589,37.4827254520436,43.8273736916613,46.8913274851885,47.4113065508091
"52","Heather Dina Lake",3209.12670898438,2921.9267578125,2968.60327148438,2959.77026367188,3130.70776367188,3148.70776367188,3148.70776367188,3159.0693359375,5821.66071573542,55.1239047701697,50.1906054043101,50.9923785743904,50.8406519753355,53.7768845788257,54.0860747030689,54.0860747030689,54.2640578039668
"53","Klawli",39633.4433932205,40933.4296737464,41913.74255838,44753.9583656333,46136.3453699721,51937.9475499951,54123.6681661873,54576.0403337352,79797.3586527379,49.6676131420556,51.2967225542897,52.5252254786781,56.0845109678299,57.8168828504065,65.0873016687415,67.8263905973664,68.3932917770364
"54","Morfee",15220.3385824319,15473.5924886819,15493.5270589944,15551.1428426858,15239.3349813577,15254.3344015237,15301.4408468362,15364.5385030862,20066.8876986778,75.8480279103508,77.1100766647607,77.2094172830561,77.4965359661153,75.9426933074519,76.0174404251477,76.252187566906,76.5666242508476
"55","Misinchinka",49458.6345252991,49705.7538490295,50271.4046325684,51904.1886520386,56280.0856018066,57645.2843475342,60476.729675293,61369.2292785645,97338.0000802183,50.8112294114726,51.0651069552138,51.6462271580869,53.3236645598464,57.8192335525951,59.2217677577385,62.130647460861,63.0475551459746
"56","Bijoux Falls",67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.8394927978516,67.839490625,100.00000320293,100.00000320293,100.00000320293,100.00000320293,100.00000320293,100.00000320293,100.00000320293,100.00000320293
"57","Kennedy",4926.09356993251,5147.69195556641,5207.73690607259,5362.67276575277,6375.97294414043,7302.2374792099,7401.20476436615,7447.30608272552,24347.0741666121,20.2327948574938,21.1429591923024,21.3895799981343,22.0259433599901,26.187840479346,29.9922587381102,30.3987440696905,30.5880946177025
"58","Philip",17425.763671875,18407.150390625,19310.486328125,20211.53515625,20378.125,20460.125,20482.7578125,20610.7578125,23327.2576191163,74.701295610483,78.9083341521493,82.7807822223405,86.6434258422515,87.3575682694071,87.7090883723651,87.8061114038313,88.3548257108878
"59","Chuchi",0.0185342091391013,0.0185342091391013,0.0193255197554086,0.0203264764092966,0.0201469253022298,0.0201469253022298,0.0201469253022298,0.0201469253022298,0.0362625845031039,51.1111091309965,51.1111091309965,53.2932774103689,56.0535788825442,55.5584373764239,55.5584373764239,55.5584373764239,55.5584373764239
"60","Reynolds",0.000944414350669831,0.000944414350669831,0.000936964643187821,0,0,0.00200584786944091,0.00253630452789366,0.00253630452789366,0.0369866817475051,2.55339031794475,2.55339031794475,2.53324872337601,0,0,5.42316254032769,6.85734542289604,6.85734542289604
"61","Anzac",0,0,0,0,0,0,0,0,0.00444600862831613,0,0,0,0,0,0,0,0
"62","Braid",12666.005859375,12666.005859375,6019.923828125,6019.923828125,6019.923828125,6019.923828125,6019.923828125,6019.923828125,132949.347824534,9.52694094903841,9.52694094903841,4.52798296992783,4.52798296992783,4.52798296992783,4.52798296992783,4.52798296992783,4.52798296992783
"63","Fox",20828.4159582257,18244.906680882,15825.4629516602,15205.4624633789,15174.4624633789,15174.4624633789,15174.4624633789,15174.4624633789,271600.277426347,7.66877565648805,6.71755819020827,5.82674771234419,5.59847088797703,5.58705705574764,5.58705705574764,5.58705705574764,5.58705705574764
"64","Obo River",0,0,0,0,0,0,0,0,104168.232434596,0,0,0,0,0,0,0,0
"65","Kwadacha Addition",7416.77319335938,0,0,0,0,0,0,0,12789.6486371441,57.9904374528267,0,0,0,0,0,0,0
"66","Finlay-Russel",3337.30938720703,3337.30938720703,2504.03344726562,2504.03344726562,357.83203125,357.83203125,357.83203125,357.83203125,47074.7975482486,7.08937597402624,7.08937597402624,5.31926546194734,5.31926546194734,0.760135040162935,0.760135040162935,0.760135040162935,0.760135040162935
"67","Thutade",34967.0102539062,33958.6372070312,33958.6372070312,32417.40625,33284.8598632812,33697.2094726562,33761.2094726562,33991.2094726562,257534.657157434,13.5775940371903,13.1860455528018,13.1860455528018,12.5875898055083,12.9244196608978,13.0845338816114,13.1093849058217,13.1986932740773
"68","Buffalohead",96595.9900958538,96152.9041583538,90106.5643589944,91323.6776402444,96574.8377964944,98803.0902908593,99982.0668533593,100561.066853359,250111.788490379,38.6211264486519,38.4439712892832,36.0265163440949,36.5131440590844,38.6126693105509,39.5035719376578,39.9749517832925,40.206448268722
"69","Upper Pelly",3261.39306640625,3261.39306640625,3247.39306640625,3154.5205078125,0,0,0,0,103019.135097202,3.16581289808831,3.16581289808831,3.15222318974258,3.06207240512755,0,0,0,0
"70","Akie",19092.7749633789,19083.7749633789,18608.4759063721,18741.0072784424,19585.9075012207,20344.2995605469,20829.9362792969,20906.9362792969,102467.687816996,18.6329713982401,18.6241881415943,18.1603355192382,18.2896751919621,19.1142280249364,19.8543560355154,20.3282973618946,20.4034430020866
"71","Akie River",0.670899987220764,0.670899987220764,0.670899987220764,0.670899987220764,0.670899987220764,0.670899987220764,0.670899987220764,0.670899987220764,45937.1240820313,0.00146047450864081,0.00146047450864081,0.00146047450864081,0.00146047450864081,0.00146047450864081,0.00146047450864081,0.00146047450864081,0.00146047450864081
"72","North Firesteel",1729.13549804688,1729.13549804688,1729.13549804688,1729.13549804688,1729.13549804688,1729.13549804688,1729.13549804688,1729.13549804688,44195.7042778377,3.91245150699853,3.91245150699853,3.91245150699853,3.91245150699853,3.91245150699853,3.91245150699853,3.91245150699853,3.91245150699853
"73","Duti",0,0,0,0,0,0,0,0,0.0304003521433395,0,0,0,0,0,0,0,0
"74","McCusker",264,264,0,0,1913.955909729,2042.80173492432,3901.1594543457,5461.15957641602,85314.2643552602,0.309444149809073,0.309444149809073,0,0,2.24341840628084,2.39444335640968,4.57269307052891,6.40122682612019
"75","Pesika",1991.53295898438,1983.61901855469,1858.39282226562,2116.30834960938,2204.66772460938,2318.21875,2361.07275390625,2377.16040039062,67973.5308132206,2.92986539783664,2.91822271820089,2.73399483597838,3.11343007239777,3.24342092904872,3.41047275647643,3.47351789094797,3.4971854072472
"76","Lower Akie",6991.58825683594,6944.58825683594,6796.400390625,6907.85107421875,7401.06262207031,7710.0625,7710.0625,7710.0625,19934.3989720561,35.072982469332,34.8372091206302,34.0938314726827,34.6529187255765,37.1270918799462,38.6771756239449,38.6771756239449,38.6771756239449
"77","Tatlatui",657.073120117188,657.073120117188,657.073120117188,657.073120117188,657.073120117188,657.073120117188,657.073120117188,657.073120117188,71004.6938437388,0.925393920524774,0.925393920524774,0.925393920524774,0.925393920524774,0.925393920524774,0.925393920524774,0.925393920524774,0.925393920524774
"78","Upper Ospika",0,0,0,0,196.837600708008,1323.37411499023,1520.37411499023,1520.37411499023,34494.9782834732,0,0,0,0,0.570626828897916,3.83642541854932,4.40752303855966,4.40752303855966
"79","South Firesteel",142.359752655029,142.359752655029,142.359752655029,142.359752655029,142.359752655029,142.359752655029,142.359752655029,142.359752655029,56670.1269139006,0.25120775337475,0.25120775337475,0.25120775337475,0.25120775337475,0.25120775337475,0.25120775337475,0.25120775337475,0.25120775337475
"80","Pelly",15670.2774946392,15449.8150922954,15069.293127805,12917.36148718,3795.15005898476,4492.63798707724,5017.63798707724,5655.63798707724,138673.335816648,11.3001374073515,11.1411577440691,10.8667560631335,9.31495691735518,2.73675543797595,3.23972734961633,3.61831491074211,4.07838893740543
"81","Lower Pesika",0.385193377733231,0.385193377733231,20.3918075561523,20.3918075561523,20.3918075561523,211.507110595703,345.653137207031,506.565521240234,4953.2519296875,0.00777657553464139,0.00777657553464139,0.411685249319407,0.411685249319407,0.411685249319407,4.27006567802512,6.97830722348981,10.226928257053
"82","Ospika Cones",0,0,0,0,0,0,0,0,1505.25689921875,0,0,0,0,0,0,0,0
"83","Collins - Davis",19090.107421875,18525.2734375,19976.783203125,22422.80078125,24191.416015625,24774.28515625,25386.302734375,26075.96875,89149.0997266862,21.4136850292393,20.7801015313614,22.408283722853,25.1520215571374,27.1359061278142,27.7897199547759,28.4762300597588,29.2498396842412
"84","Ed Bird Estells Lake",2488.55670166016,2488.55670166016,2430.55671691895,1650.90766906738,1784.11102294922,1874.43690490723,1886.82479858398,1894.82476806641,5263.65588203063,47.2781039914812,47.2781039914812,46.1762085400856,31.3642781000055,33.8949023822002,35.6109317728442,35.8462794846702,35.9982645243787
"85","North Ingenika",23007.1660757661,22470.1660757661,22817.1836538911,23844.2746603191,10682.0324728191,13771.0764181316,16262.0139181316,17599.9035665691,47688.1154820126,48.2450728933587,47.1190061688254,47.8466876354077,50.0004548708008,22.3997789907387,28.8773760064515,34.1007686165863,36.9062677119367
"86","Ingenika",20829.578125,20956.578125,21713.921875,23406.9609375,24440.73828125,28576.6953125,30291.7578125,31277.8671875,124380.423433136,16.7466692507262,16.8487753511032,17.4576683980119,18.8188464803571,19.6499880018408,22.9752355907215,24.3541201873976,25.1469373750076
"87","Lower Ospika",28499.259979248,32195.2123413086,35436.5487060547,38429.3978271484,42992.8929443359,43706.2923583984,44006.1268310547,44333.8197021484,102390.507133366,27.8338888800767,31.4435519880506,34.6092130004765,37.5321881911311,41.9891395677304,42.685883273798,42.9787175228419,43.2987597613933
"88","Johanson",0.00928321095579033,0.00928321095579033,0.00928321095579033,0.00872836901270513,0.00937082815379565,0.0095915429892457,0.0095915429892457,0.0095915429892457,0.0597005505590607,15.5496236950221,15.5496236950221,15.5496236950221,14.6202487765507,15.6963848172979,16.0660879999037,16.0660879999037,16.0660879999037
"89","Chunamon",102227.937231729,102041.710669229,105720.033373725,110226.494311225,98610.9946011417,102361.980074774,103508.490305793,104433.552805793,185995.466156275,54.9625963171792,54.8624720688044,56.8401131266813,59.263000646807,53.0179561034504,55.0346641185163,55.6510824940346,56.1484400474831
"90","Mosque",0,0,0,0,0,0,0,0,0.0101176450123297,0,0,0,0,0,0,0,0
"91","Swannell",5067.37744140625,5198.37744140625,6056.14892578125,7171.30224609375,8515.126953125,9319.126953125,9373.126953125,9373.126953125,63898.1774621352,7.93039432839705,8.1354080004656,9.47781167838474,11.2230153204969,13.3260873648093,14.5843392147567,14.6688486673651,14.6688486673651
"92","Birdflat",0,0,0,0,0,0,0,0,0.0147479111839577,0,0,0,0,0,0,0,0
"93","Mesilinka",58706.6953125,58585.8515625,58681.83203125,61647.8984375,47359.05078125,50365.52734375,51589.52734375,52973.2421875,122522.169513658,47.9151614320345,47.8165313224962,47.8948685484293,50.3157091342788,38.6534542844272,41.1072767840074,42.1062796623098,43.2356384136628
"94","Firth",0.0172096313908696,0.016326567158103,0.0160421589389443,0.0165016567334533,0.0165016567334533,0.0165016567334533,0.0167860649526119,0.0167860649526119,0.0254897903865927,67.5157823185617,64.0513982676394,62.9356251881235,64.7382990726079,64.7382990726079,64.7382990726079,65.8540721521239,65.8540721521239
"95","Tudyah B",1024.53271484375,1029.97387695312,1061.90625,1079.01281738281,1079.01281738281,1079.01281738281,1079.01281738281,1079.01281738281,1079.18583237749,94.9357083929341,95.4398997885335,98.3988316136972,99.9839680072251,99.9839680072251,99.9839680072251,99.9839680072251,99.9839680072251
